year,province,Abbreviation,micro_cnt,medium_cnt
2024,Yunnan ,YN,213,16
2024,Zhejiang ,ZJ,89,17
2024,Chongqing ,CQ,61,17
2025,Anhui ,AH,264,42
2025,Beijing ,BJ,65,10
2025,Fujian ,FJ,148,22
2025,Gansu ,GS,41,10
2025,Guangdong ,GD,261,34
2025,Guangxi Zhuang,GX,127,15
2025,Guizhou ,GZ,47,10
2025,Hainan ,HI,93,6
2025,Hebei ,HE,393,34
2025,Henan ,HA,249,29
2025,Heilongjiang ,HL,34,6
2025,Hubei ,HB,96,20
2025,Hunan ,HN,124,29
2025,Jilin ,JL,43,9
2025,Jiangsu ,JS,167,52
2025,Jiangxi ,JX,48,14
2025,Liaoning ,LN,18,17
2025,Inner Mongolia,NM,27,8
2025,Ningxia,NX,15,5
2025,Qinghai ,QH,18,4
2025,Shandong ,SD,29,23
2025,Shanxi ,SX,32,18
2025,Shaanxi ,SN,52,14
2025,Shanghai ,SH,25,9
2025,Sichuan ,SC,94,13
2025,Tianjin ,TJ,10,7
2025,Tibet,XZ,10,1
2025,Xinjiang,XJ,65,15
2025,Yunnan ,YN,213,16
2025,Zhejiang ,ZJ,89,17
2025,Chongqing ,CQ,61,17
2026,Anhui ,AH,264,42
2026,Beijing ,BJ,65,10
2026,Fujian ,FJ,148,22
2026,Gansu ,GS,41,10
2026,Guangdong ,GD,261,34
2026,Guangxi Zhuang,GX,127,15
2026,Guizhou ,GZ,47,10
2026,Hainan ,HI,93,6
2026,Hebei ,HE,393,34
2026,Henan ,HA,249,29
2026,Heilongjiang ,HL,34,6
2026,Hubei ,HB,96,20
2026,Hunan ,HN,124,29
2026,Jilin ,JL,43,9
2026,Jiangsu ,JS,167,52
2026,Jiangxi ,JX,48,14
2026,Liaoning ,LN,18,17
2026,Inner Mongolia,NM,27,8
2026,Ningxia,NX,15,5
2026,Qinghai ,QH,18,4
2026,Shandong ,SD,29,23
2026,Shanxi ,SX,32,18
2026,Shaanxi ,SN,52,14
2026,Shanghai ,SH,25,9
2026,Sichuan ,SC,94,13
2026,Tianjin ,TJ,10,7
2026,Tibet,XZ,10,1
2026,Xinjiang,XJ,65,15
2026,Yunnan ,YN,213,16
2026,Zhejiang ,ZJ,89,17
2026,Chongqing ,CQ,61,17
2027,Anhui ,AH,264,42
2027,Beijing ,BJ,65,10
2027,Fujian ,FJ,148,22
2027,Gansu ,GS,41,10
2027,Guangdong ,GD,261,34
2027,Guangxi Zhuang,GX,127,15
2027,Guizhou ,GZ,47,10
2027,Hainan ,HI,93,6
2027,Hebei ,HE,393,34
2027,Henan ,HA,249,29
2027,Heilongjiang ,HL,34,6
2027,Hubei ,HB,96,20
2027,Hunan ,HN,124,29
2027,Jilin ,JL,43,9
2027,Jiangsu ,JS,167,52
2027,Jiangxi ,JX,48,14
2027,Liaoning ,LN,18,17
2027,Inner Mongolia,NM,27,8
2027,Ningxia,NX,15,5
2027,Qinghai ,QH,18,4
2027,Shandong ,SD,29,23
2027,Shanxi ,SX,32,18
2027,Shaanxi ,SN,52,14
2027,Shanghai ,SH,25,9
2027,Sichuan ,SC,94,13
2027,Tianjin ,TJ,10,7
2027,Tibet,XZ,10,1
2027,Xinjiang,XJ,65,15
2027,Yunnan ,YN,213,16
2027,Zhejiang ,ZJ,89,17
2027,Chongqing ,CQ,61,17
2028,Anhui ,AH,264,42
2028,Beijing ,BJ,65,10
2028,Fujian ,FJ,148,22
2028,Gansu ,GS,41,10
2028,Guangdong ,GD,261,34
2028,Guangxi Zhuang,GX,127,15
2028,Guizhou ,GZ,47,10
2028,Hainan ,HI,93,6
2028,Hebei ,HE,393,34
2028,Henan ,HA,249,29
2028,Heilongjiang ,HL,34,6
2028,Hubei ,HB,96,20
2028,Hunan ,HN,124,29
2028,Jilin ,JL,43,9
2028,Jiangsu ,JS,167,52
2028,Jiangxi ,JX,48,14
2028,Liaoning ,LN,18,17
2028,Inner Mongolia,NM,27,8
2028,Ningxia,NX,15,5
2028,Qinghai ,QH,18,4
2028,Shandong ,SD,29,23
2028,Shanxi ,SX,32,18
2028,Shaanxi ,SN,52,14
2028,Shanghai ,SH,25,9
2028,Sichuan ,SC,94,13
2028,Tianjin ,TJ,10,7
2028,Tibet,XZ,10,1
2028,Xinjiang,XJ,65,15
2028,Yunnan ,YN,213,16
2028,Zhejiang ,ZJ,89,17
2028,Chongqing ,CQ,61,17
2029,Anhui ,AH,264,42
2029,Beijing ,BJ,65,10
2029,Fujian ,FJ,148,22
2029,Gansu ,GS,41,10
2029,Guangdong ,GD,261,34
2029,Guangxi Zhuang,GX,127,15
2029,Guizhou ,GZ,47,10
2029,Hainan ,HI,93,6
2029,Hebei ,HE,393,34
2029,Henan ,HA,249,29
2029,Heilongjiang ,HL,34,6
2029,Hubei ,HB,96,20
2029,Hunan ,HN,124,29
2029,Jilin ,JL,43,9
2029,Jiangsu ,JS,167,52
2029,Jiangxi ,JX,48,14
2029,Liaoning ,LN,18,17
2029,Inner Mongolia,NM,27,8
2029,Ningxia,NX,15,5
2029,Qinghai ,QH,18,4
2029,Shandong ,SD,29,23
2029,Shanxi ,SX,32,18
2029,Shaanxi ,SN,52,14
