city_code,city_name,province,cluster_id,CN-城市,CN-城市群
210200,Dalian City,Liaoning ,Central - Southern Liaoning,大连市,辽中南
210300,Anshan City,Liaoning ,Central - Southern Liaoning,鞍山市,辽中南
210400,Fushun City,Liaoning ,Central - Southern Liaoning,抚顺市,辽中南
210500,Benxi City,Liaoning ,Central - Southern Liaoning,本溪市,辽中南
210800,Yingkou City,Liaoning ,Central - Southern Liaoning,营口市,辽中南
211000,Liaoyang City,Liaoning ,Central - Southern Liaoning,辽阳市,辽中南
211100,Panjin City,Liaoning ,Central - Southern Liaoning,盘锦市,辽中南
211200,Tieling City,Liaoning ,Central - Southern Liaoning,铁岭市,辽中南
640100,Yinchuan City,Ningxia,Yellow River - adjacent Area in Ningxia,银川市,宁夏沿黄
640200,Shizuishan City,Ningxia,Yellow River - adjacent Area in Ningxia,石嘴山市,宁夏沿黄
640300,Wuzhong City,Ningxia,Yellow River - adjacent Area in Ningxia,吴忠市,宁夏沿黄
640500,Zhongwei City,Ningxia,Yellow River - adjacent Area in Ningxia,中卫市,宁夏沿黄
520100,Guiyang City,Guizhou ,Central Guizhou,贵阳市,黔中
520300,Zunyi City,Guizhou ,Central Guizhou,遵义市,黔中
520400,Anshun City,Guizhou ,Central Guizhou,安顺市,黔中
520500,Bijie City,Guizhou ,Central Guizhou,毕节市,黔中
370100,Jinan City,Shandong ,Shandong Peninsula,济南市,山东半岛
370200,Qingdao City,Shandong ,Shandong Peninsula,青岛市,山东半岛
370300,Zibo City,Shandong ,Shandong Peninsula,淄博市,山东半岛
370400,Zaozhuang City,Shandong ,Shandong Peninsula,枣庄市,山东半岛
370500,Dongying City,Shandong ,Shandong Peninsula,东营市,山东半岛
370600,Yantai City,Shandong ,Shandong Peninsula,烟台市,山东半岛
370700,Weifang City,Shandong ,Shandong Peninsula,潍坊市,山东半岛
370900,Tai'an City,Shandong ,Shandong Peninsula,泰安市,山东半岛
371000,Weihai City,Shandong ,Shandong Peninsula,威海市,山东半岛
371100,Rizhao City,Shandong ,Shandong Peninsula,日照市,山东半岛
371300,Linyi City,Shandong ,Shandong Peninsula,临沂市,山东半岛
371400,Dezhou City,Shandong ,Shandong Peninsula,德州市,山东半岛
371500,Liaocheng City,Shandong ,Shandong Peninsula,聊城市,山东半岛
371700,Heze City,Shandong ,Shandong Peninsula,菏泽市,山东半岛
140100,Taiyuan City,Shanxi ,Central Shanxi,太原市,山西中部
