province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Guangdong ,2026,Zhuhai City,440400,10000,广东,珠海
Henan ,2026,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2026,Zhuhai City,440400,30000,广东,珠海
Hunan ,2026,Changsha City,430100,530,湖南,长沙
Hunan ,2026,Changsha City,430100,3262,湖南,长沙
Hunan ,2026,Changsha City,430100,50000,湖南,长沙
Hunan ,2026,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2026,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2026,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2026,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2026,Xinyu City,360500,30000,江西,新余
Jiangxi ,2026,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2026,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2026,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2026,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2026,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2026,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2026,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2026,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2026,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2026,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2026,Ningde City,350900,12000,福建,宁德
Henan ,2026,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2026,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2026,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2026,Suining City,510900,100000,四川,遂宁
Gansu ,2026,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2026,Baiyin City,620400,800,甘肃,白银
Hubei ,2026,Jingmen City,420800,45000,湖北,荆门
Hunan ,2026,Changsha City,430100,120000,湖南,长沙
Anhui ,2026,Wuhu City,340200,500,安徽,芜湖
Anhui ,2026,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2026,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2026,Lu'an City,341500,12000,安徽,六安
Anhui ,2026,Lu'an City,341500,12000,安徽,六安
Fujian ,2026,Longyan City,350800,12570,福建,龙岩
Gansu ,2026,Lanzhou City,620100,5000,甘肃,兰州
Guangdong ,2026,Foshan City,440600,3000,广东,佛山
Guangxi ,2026,Qinzhou City,450700,10000,广西,钦州
Henan ,2026,Xinxiang City,410700,100000,河南,新乡
Hubei ,2026,Xiangyang City,420600,10000,湖北,襄阳
Hunan ,2026,Zhuzhou City,430200,6000,湖南,株洲
Hunan ,2026,Changsha City,430100,10000,湖南,长沙
Hunan ,2026,Hengyang City,430400,17000,湖南,衡阳
Hunan ,2026,Changde City,430700,100000,湖南,常德
Hunan ,2026,Changsha City,430100,100000,湖南,长沙
Jilin ,2026,Yanbian Korean Autonomous Prefecture,222400,60000,吉林,延边
Jiangxi ,2026,Ganzhou City,360700,25000,江西,赣州
Jiangxi ,2026,Yichun City (Jiangxi),360900,40000,江西,宜春
Jiangxi ,2026,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,5000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,30000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,6000,江西,赣州
Jiangxi ,2026,Yichun City (Jiangxi),360900,10000,江西,宜春
Jiangxi ,2026,Shangrao City,361100,30000,江西,上饶
Shanghai,2026,Shanghai City,310000,10000,上海,上海
Yunnan ,2026,Qujing City,530300,10000,云南,曲靖
Guangdong ,2026,Foshan City,440600,120000,广东,佛山
Anhui ,2027,Chizhou City,341700,10000,安徽,池州
Hubei ,2027,Xiangyang City,420600,15000,湖北,襄阳
Fujian ,2027,Fuzhou City (Fujian),350100,50000,福建,福州
Fujian ,2027,Longyan City,350800,150000,福建,龙岩
Fujian ,2027,Ningde City,350900,20000,福建,宁德
Sichuan ,2027,Zigong City,510300,60000,四川,自贡
Shandong ,2027,Linyi City,371300,40000,山东,临沂
Hunan ,2027,Hengyang City,430400,13000,湖南,衡阳
Chongqing,2027,Chongqing City,500000,150000,重庆,重庆
Jiangsu ,2027,Huai'an City,320800,30000,江苏,淮安
Shandong ,2027,Zibo City,370300,40000,山东,淄博
Guangdong ,2027,Huizhou City,441300,35000,广东,惠州
Shandong ,2027,Dezhou City,371400,5000,山东,德州
Hunan ,2027,Chenzhou City,431000,50000,湖南,郴州
Anhui ,2027,Fuyang City,341200,36500,安徽,阜阳
Jiangsu ,2027,Huai'an City,320800,30000,江苏,淮安
Shandong ,2027,Zaozhuang City,370400,3000,山东,枣庄
Anhui ,2027,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2027,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2027,Fuyang City,341200,4000,安徽,阜阳
Anhui ,2027,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2027,Fuyang City,341200,6800,安徽,阜阳
Chongqing,2027,Chongqing City,500000,50000,重庆,重庆
Jiangxi ,2027,Yichun City (Jiangxi),360900,40000,江西,宜春
Guangdong ,2027,Guangzhou City,440100,10000,广东,广州
Guangdong ,2027,Jiangmen City,440700,100000,广东,江门
Shandong ,2027,Binzhou City,371600,8000,山东,滨州
Anhui ,2027,Lu'an City,341500,12000,安徽,六安
Anhui ,2027,Lu'an City,341500,12000,安徽,六安
Jiangxi ,2027,Shangrao City,361100,40000,江西,上饶
Hubei ,2027,Jingmen City,420800,10000,湖北,荆门
Anhui ,2027,Ma'anshan City,340500,20000,安徽,马鞍山
Anhui ,2027,Ma'anshan City,340500,10000,安徽,马鞍山
Hunan ,2027,Yueyang City,430600,17750,湖南,岳阳
Anhui ,2027,Fuyang City,341200,10000,安徽,阜阳
Henan ,2027,Pingdingshan City,410400,10000,河南,平顶山
Henan ,2027,Pingdingshan City,410400,10000,河南,平顶山
Anhui ,2027,Ma'anshan City,340500,20000,安徽,马鞍山
Anhui ,2027,Ma'anshan City,340500,10000,安徽,马鞍山
Guangdong ,2027,Jieyang City,445200,35000,广东,揭阳
Hubei ,2027,Yichang City,420500,100000,湖北,宜昌
Shaanxi ,2027,Tongchuan City,610200,10000,陕西,铜川
Fujian ,2027,Nanping City,350700,18000,福建,南平
Guizhou ,2027,Zunyi City ,520300,40000,贵州,遵义
Hunan ,2027,Yiyang City,430900,30000,湖南,益阳
Inner Mongolia,2027,Ulanqab City,150900,2000,内蒙古,乌兰察布
Fujian ,2027,Longyan City,350800,10000,福建,龙岩
Guangdong ,2027,Meizhou City,441400,10000,广东,梅州
Shandong ,2027,Linyi City,371300,60000,山东,临沂
Anhui ,2027,Huaibei City,340600,50000,安徽,淮北
Hunan ,2027,Changsha City,430100,7000,湖南,长沙
Shandong ,2027,Linyi City,371300,60000,山东,临沂
Hebei ,2027,Cangzhou City,130900,60000,河北,沧州
Fujian ,2027,Longyan City,350800,40000,福建,龙岩
Guangxi ,2027,Guilin City,450300,50000,广西,桂林
Guangxi ,2027,Guilin City,450300,50000,广西,桂林
Guangdong ,2027,Zhaoqing City,441200,78000,广东,肇庆
Guangxi ,2027,Nanning City,450100,46300,广西,南宁
Hunan ,2027,Changsha City,430100,100000,湖南,长沙
Fujian ,2027,Nanping City,350700,20000,福建,南平
Hubei ,2027,Jingmen City,420800,70000,湖北,荆门
Hunan ,2027,Hengyang City,430400,20000,湖南,衡阳
Shandong ,2027,Linyi City,371300,50000,山东,临沂
Jiangxi ,2027,Ganzhou City,360700,10000,江西,赣州
Anhui ,2027,Fuyang City,341200,20000,安徽,阜阳
Chongqing,2027,Chongqing City,500000,30000,重庆,重庆
Jiangsu ,2027,Suzhou City (Jiangsu),320500,10000,江苏,苏州
Hebei ,2027,Cangzhou City,130900,60000,河北,沧州
Jiangxi ,2027,Jiujiang City,360400,30000,江西,九江
Hubei ,2027,Jingmen City,420800,30000,湖北,荆门
Anhui ,2027,Chizhou City,341700,100000,安徽,池州
Shanxi ,2027,Yuncheng City,140800,40000,山西,运城
Shanxi ,2027,Yuncheng City,140800,50000,山西,运城
Anhui ,2027,Huaibei City,340600,40000,安徽,淮北
Anhui ,2027,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2027,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2027,Fuyang City,341200,4000,安徽,阜阳
Jiangxi ,2027,Ganzhou City,360700,8000,江西,赣州
Shandong ,2027,Dezhou City,371400,10000,山东,德州
Shandong ,2027,Dezhou City,371400,10000,山东,德州
Jiangxi ,2027,Ganzhou City,360700,78000,江西,赣州
Hubei ,2027,Xiantao City,429004,20000,湖北,仙桃
Anhui ,2027,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2027,Fuyang City,341200,6800,安徽,阜阳
Hunan ,2027,Yiyang City,430900,2000,湖南,益阳
Hunan ,2027,Huaihua City,431200,25000,湖南,怀化
Hunan ,2027,Huaihua City,431200,25000,湖南,怀化
Jiangxi ,2027,Ganzhou City,360700,50000,江西,赣州
Sichuan ,2027,Suining City,510900,100000,四川,遂宁
Shandong ,2027,Tai'an City,370900,10000,山东,泰安
Guangdong ,2027,Zhuhai City,440400,50000,广东,珠海
Hunan ,2027,Yueyang City,430600,10000,湖南,岳阳
Shanxi ,2027,Lvliang City,141100,50000,山西,吕梁
Hubei ,2027,Wuhan City,420100,20000,湖北,武汉
Guangdong ,2027,Guangzhou City,440100,15000,广东,广州
Guangdong ,2027,Jiangmen City,440700,300000,广东,江门
Sichuan ,2027,Yibin City,511500,100000,四川,宜宾
Shandong ,2027,Linyi City,371300,60000,山东,临沂
Inner Mongolia,2027,Ulanqab City,150900,25000,内蒙古,乌兰察布
Chongqing,2027,Chongqing City,500000,50000,重庆,重庆
Jiangsu ,2027,Lianyungang City,320700,8000,江苏,连云港
Guangdong ,2027,Huizhou City,441300,80000,广东,惠州
Guangxi ,2027,Nanning City,450100,70000,广西,南宁
Jiangxi ,2027,Ganzhou City,360700,150000,江西,赣州
Hunan ,2027,Chenzhou City,431000,100000,湖南,郴州
Anhui ,2027,Hefei City,340100,6000,安徽,合肥
Guangdong ,2027,Shaoguan City,440200,8000,广东,韶关
Henan ,2027,Sanmenxia City,411200,30000,河南,三门峡
Hunan ,2027,Changsha City,430100,100000,湖南,长沙
Fujian ,2027,Longyan City,350800,52570,福建,龙岩
Guangxi ,2027,Nanning City,450100,15300,广西,南宁
Guizhou ,2027,Tongren City,520600,6000,贵州,铜仁
Jiangxi ,2027,Yichun City (Jiangxi),360900,12000,江西,宜春
Sichuan ,2027,Zigong City,510300,30000,四川,自贡
Anhui ,2027,Chizhou City,341700,60000,安徽,池州
Jiangxi ,2027,Jiujiang City,360400,20000,江西,九江
Hunan ,2027,Changsha City,430100,4000,湖南,长沙
Jiangxi ,2027,Ganzhou City,360700,30000,江西,赣州
Hubei ,2027,Jingzhou City,421000,15000,湖北,荆州
Zhejiang ,2027,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2027,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2027,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2027,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2027,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2027,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2027,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,40000,江西,赣州
Hubei ,2027,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2027,Zhuhai City,440400,10000,广东,珠海
Henan ,2027,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2027,Zhuhai City,440400,30000,广东,珠海
Hunan ,2027,Changsha City,430100,530,湖南,长沙
Hunan ,2027,Changsha City,430100,3262,湖南,长沙
Hunan ,2027,Changsha City,430100,50000,湖南,长沙
Hunan ,2027,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2027,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2027,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2027,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2027,Xinyu City,360500,30000,江西,新余
Jiangxi ,2027,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2027,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2027,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2027,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2027,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2027,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2027,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2027,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2027,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2027,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2027,Ningde City,350900,12000,福建,宁德
Henan ,2027,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2027,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2027,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2027,Suining City,510900,100000,四川,遂宁
Gansu ,2027,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2027,Baiyin City,620400,800,甘肃,白银
Hubei ,2027,Jingmen City,420800,45000,湖北,荆门
Hunan ,2027,Changsha City,430100,120000,湖南,长沙
Anhui ,2027,Wuhu City,340200,500,安徽,芜湖
Anhui ,2027,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2027,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2027,Lu'an City,341500,12000,安徽,六安
Anhui ,2027,Lu'an City,341500,12000,安徽,六安
Fujian ,2027,Longyan City,350800,12570,福建,龙岩
Gansu ,2027,Lanzhou City,620100,5000,甘肃,兰州
Guangdong ,2027,Foshan City,440600,3000,广东,佛山
Guangxi ,2027,Qinzhou City,450700,10000,广西,钦州
Henan ,2027,Xinxiang City,410700,100000,河南,新乡
Hubei ,2027,Xiangyang City,420600,10000,湖北,襄阳
Hunan ,2027,Zhuzhou City,430200,6000,湖南,株洲
Hunan ,2027,Changsha City,430100,10000,湖南,长沙
Hunan ,2027,Hengyang City,430400,17000,湖南,衡阳
Hunan ,2027,Changde City,430700,100000,湖南,常德
Hunan ,2027,Changsha City,430100,100000,湖南,长沙
Jilin ,2027,Yanbian Korean Autonomous Prefecture,222400,60000,吉林,延边
Jiangxi ,2027,Ganzhou City,360700,25000,江西,赣州
Jiangxi ,2027,Yichun City (Jiangxi),360900,40000,江西,宜春
Jiangxi ,2027,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,5000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,30000,江西,赣州
Jiangxi ,2027,Ganzhou City,360700,6000,江西,赣州
Jiangxi ,2027,Yichun City (Jiangxi),360900,10000,江西,宜春
Jiangxi ,2027,Shangrao City,361100,30000,江西,上饶
Shanghai,2027,Shanghai City,310000,10000,上海,上海
Yunnan ,2027,Qujing City,530300,10000,云南,曲靖
Guangdong ,2027,Foshan City,440600,120000,广东,佛山
Anhui ,2028,Chizhou City,341700,10000,安徽,池州
Hubei ,2028,Xiangyang City,420600,15000,湖北,襄阳
Fujian ,2028,Fuzhou City (Fujian),350100,50000,福建,福州
Jiangxi ,2028,Ganzhou City,360700,150000,江西,赣州
Anhui ,2028,Fuyang City,341200,18500,安徽,阜阳
Hubei ,2028,Jingzhou City,421000,24000,湖北,荆州
Hubei ,2028,Jingzhou City,421000,50000,湖北,荆州
Anhui ,2028,Chizhou City,341700,180000,安徽,池州
Yunnan ,2028,Kunming City,530100,20000,云南,昆明
Shandong ,2028,Linyi City,371300,140000,山东,临沂
Fujian ,2028,Longyan City,350800,150000,福建,龙岩
Fujian ,2028,Ningde City,350900,20000,福建,宁德
Sichuan ,2028,Zigong City,510300,60000,四川,自贡
Shandong ,2028,Linyi City,371300,40000,山东,临沂
Hunan ,2028,Hengyang City,430400,13000,湖南,衡阳
Chongqing,2028,Chongqing City,500000,150000,重庆,重庆
Jiangsu ,2028,Huai'an City,320800,30000,江苏,淮安
Shandong ,2028,Zibo City,370300,40000,山东,淄博
Guangdong ,2028,Huizhou City,441300,35000,广东,惠州
Shandong ,2028,Dezhou City,371400,5000,山东,德州
Hunan ,2028,Chenzhou City,431000,50000,湖南,郴州
Anhui ,2028,Fuyang City,341200,36500,安徽,阜阳
Jiangsu ,2028,Huai'an City,320800,30000,江苏,淮安
Shandong ,2028,Zaozhuang City,370400,3000,山东,枣庄
Anhui ,2028,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2028,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2028,Fuyang City,341200,4000,安徽,阜阳
Anhui ,2028,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2028,Fuyang City,341200,6800,安徽,阜阳
Chongqing,2028,Chongqing City,500000,50000,重庆,重庆
Jiangxi ,2028,Yichun City (Jiangxi),360900,40000,江西,宜春
Guangdong ,2028,Guangzhou City,440100,10000,广东,广州
Guangdong ,2028,Jiangmen City,440700,100000,广东,江门
Shandong ,2028,Binzhou City,371600,8000,山东,滨州
Anhui ,2028,Lu'an City,341500,12000,安徽,六安
Anhui ,2028,Lu'an City,341500,12000,安徽,六安
Jiangxi ,2028,Shangrao City,361100,40000,江西,上饶
Hubei ,2028,Jingmen City,420800,10000,湖北,荆门
Anhui ,2028,Ma'anshan City,340500,20000,安徽,马鞍山
Anhui ,2028,Ma'anshan City,340500,10000,安徽,马鞍山
Hunan ,2028,Yueyang City,430600,17750,湖南,岳阳
Anhui ,2028,Fuyang City,341200,10000,安徽,阜阳
Henan ,2028,Pingdingshan City,410400,10000,河南,平顶山
Henan ,2028,Pingdingshan City,410400,10000,河南,平顶山
Anhui ,2028,Ma'anshan City,340500,20000,安徽,马鞍山
Anhui ,2028,Ma'anshan City,340500,10000,安徽,马鞍山
Guangdong ,2028,Jieyang City,445200,35000,广东,揭阳
Hubei ,2028,Yichang City,420500,100000,湖北,宜昌
Shaanxi ,2028,Tongchuan City,610200,10000,陕西,铜川
Fujian ,2028,Nanping City,350700,18000,福建,南平
Guizhou ,2028,Zunyi City ,520300,40000,贵州,遵义
Hunan ,2028,Yiyang City,430900,30000,湖南,益阳
Inner Mongolia,2028,Ulanqab City,150900,2000,内蒙古,乌兰察布
Fujian ,2028,Longyan City,350800,10000,福建,龙岩
Guangdong ,2028,Meizhou City,441400,10000,广东,梅州
Shandong ,2028,Linyi City,371300,60000,山东,临沂
Anhui ,2028,Huaibei City,340600,50000,安徽,淮北
Hunan ,2028,Changsha City,430100,7000,湖南,长沙
Shandong ,2028,Linyi City,371300,60000,山东,临沂
Hebei ,2028,Cangzhou City,130900,60000,河北,沧州
Fujian ,2028,Longyan City,350800,40000,福建,龙岩
Guangxi ,2028,Guilin City,450300,50000,广西,桂林
Guangxi ,2028,Guilin City,450300,50000,广西,桂林
Guangdong ,2028,Zhaoqing City,441200,78000,广东,肇庆
Guangxi ,2028,Nanning City,450100,46300,广西,南宁
Hunan ,2028,Changsha City,430100,100000,湖南,长沙
Fujian ,2028,Nanping City,350700,20000,福建,南平
Hubei ,2028,Jingmen City,420800,70000,湖北,荆门
Hunan ,2028,Hengyang City,430400,20000,湖南,衡阳
Shandong ,2028,Linyi City,371300,50000,山东,临沂
Jiangxi ,2028,Ganzhou City,360700,10000,江西,赣州
Anhui ,2028,Fuyang City,341200,20000,安徽,阜阳
Chongqing,2028,Chongqing City,500000,30000,重庆,重庆
Jiangsu ,2028,Suzhou City (Jiangsu),320500,10000,江苏,苏州
Hebei ,2028,Cangzhou City,130900,60000,河北,沧州
Jiangxi ,2028,Jiujiang City,360400,30000,江西,九江
Hubei ,2028,Jingmen City,420800,30000,湖北,荆门
Anhui ,2028,Chizhou City,341700,100000,安徽,池州
Shanxi ,2028,Yuncheng City,140800,40000,山西,运城
Shanxi ,2028,Yuncheng City,140800,50000,山西,运城
Anhui ,2028,Huaibei City,340600,40000,安徽,淮北
Anhui ,2028,Wuhu City,340200,10000,安徽,芜湖
Anhui ,2028,Fuyang City,341200,8000,安徽,阜阳
Anhui ,2028,Fuyang City,341200,4000,安徽,阜阳
Jiangxi ,2028,Ganzhou City,360700,8000,江西,赣州
Shandong ,2028,Dezhou City,371400,10000,山东,德州
Shandong ,2028,Dezhou City,371400,10000,山东,德州
Jiangxi ,2028,Ganzhou City,360700,78000,江西,赣州
Hubei ,2028,Xiantao City,429004,20000,湖北,仙桃
Anhui ,2028,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2028,Fuyang City,341200,6800,安徽,阜阳
Hunan ,2028,Yiyang City,430900,2000,湖南,益阳
Hunan ,2028,Huaihua City,431200,25000,湖南,怀化
Hunan ,2028,Huaihua City,431200,25000,湖南,怀化
Jiangxi ,2028,Ganzhou City,360700,50000,江西,赣州
Sichuan ,2028,Suining City,510900,100000,四川,遂宁
Shandong ,2028,Tai'an City,370900,10000,山东,泰安
Guangdong ,2028,Zhuhai City,440400,50000,广东,珠海
Hunan ,2028,Yueyang City,430600,10000,湖南,岳阳
Shanxi ,2028,Lvliang City,141100,50000,山西,吕梁
Hubei ,2028,Wuhan City,420100,20000,湖北,武汉
Guangdong ,2028,Guangzhou City,440100,15000,广东,广州
Guangdong ,2028,Jiangmen City,440700,300000,广东,江门
Sichuan ,2028,Yibin City,511500,100000,四川,宜宾
Shandong ,2028,Linyi City,371300,60000,山东,临沂
Inner Mongolia,2028,Ulanqab City,150900,25000,内蒙古,乌兰察布
Chongqing,2028,Chongqing City,500000,50000,重庆,重庆
Jiangsu ,2028,Lianyungang City,320700,8000,江苏,连云港
Guangdong ,2028,Huizhou City,441300,80000,广东,惠州
Guangxi ,2028,Nanning City,450100,70000,广西,南宁
Jiangxi ,2028,Ganzhou City,360700,150000,江西,赣州
Hunan ,2028,Chenzhou City,431000,100000,湖南,郴州
Anhui ,2028,Hefei City,340100,6000,安徽,合肥
Guangdong ,2028,Shaoguan City,440200,8000,广东,韶关
Henan ,2028,Sanmenxia City,411200,30000,河南,三门峡
Hunan ,2028,Changsha City,430100,100000,湖南,长沙
Fujian ,2028,Longyan City,350800,52570,福建,龙岩
Guangxi ,2028,Nanning City,450100,15300,广西,南宁
Guizhou ,2028,Tongren City,520600,6000,贵州,铜仁
Jiangxi ,2028,Yichun City (Jiangxi),360900,12000,江西,宜春
Sichuan ,2028,Zigong City,510300,30000,四川,自贡
Anhui ,2028,Chizhou City,341700,80000,安徽,池州
Jiangxi ,2028,Jiujiang City,360400,20000,江西,九江
Hunan ,2028,Changsha City,430100,4000,湖南,长沙
Jiangxi ,2028,Ganzhou City,360700,30000,江西,赣州
Hubei ,2028,Jingzhou City,421000,15000,湖北,荆州
Zhejiang ,2028,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2028,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2028,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2028,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2028,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2028,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2028,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,40000,江西,赣州
Hubei ,2028,Jingmen City,420800,100000,湖北,荆门
Guangdong ,2028,Zhuhai City,440400,10000,广东,珠海
Henan ,2028,Luoyang City,410300,2000,河南,洛阳
Guangdong ,2028,Zhuhai City,440400,30000,广东,珠海
Hunan ,2028,Changsha City,430100,530,湖南,长沙
Hunan ,2028,Changsha City,430100,3262,湖南,长沙
Hunan ,2028,Changsha City,430100,50000,湖南,长沙
Hunan ,2028,Changsha City,430100,50000,湖南,长沙
Jiangxi ,2028,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,20000,江西,赣州
Guangdong ,2028,Shenzhen City,440300,3000,广东,深圳
Jiangxi ,2028,Ganzhou City,360700,36000,江西,赣州
Jiangxi ,2028,Xinyu City,360500,30000,江西,新余
Jiangxi ,2028,Pingxiang City,360300,5000,江西,萍乡
Jiangxi ,2028,Shangrao City,361100,5000,江西,上饶
Jiangxi ,2028,Yichun City (Jiangxi),360900,30000,江西,宜春
Hunan ,2028,Hengyang City,430400,4416,湖南,衡阳
Hubei ,2028,Xiangyang City,420600,10000,湖北,襄阳
Guangdong ,2028,Shaoguan City,440200,3000,广东,韶关
Guizhou ,2028,Qiannan Buyi and Miao Autonomous Prefecture,522700,34000,贵州,黔南布依族苗族自治州
Anhui ,2028,Chuzhou City,341100,31000,安徽,滁州
Jiangsu ,2028,Wuxi City,320200,16000,江苏,无锡
Shaanxi ,2028,Yulin City (Shaanxi）,610800,15000,陕西,榆林
Fujian ,2028,Ningde City,350900,12000,福建,宁德
Henan ,2028,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2028,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2028,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2028,Suining City,510900,100000,四川,遂宁
Gansu ,2028,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2028,Baiyin City,620400,800,甘肃,白银
Hubei ,2028,Jingmen City,420800,45000,湖北,荆门
Hunan ,2028,Changsha City,430100,120000,湖南,长沙
Anhui ,2028,Wuhu City,340200,500,安徽,芜湖
Anhui ,2028,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2028,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2028,Lu'an City,341500,12000,安徽,六安
Anhui ,2028,Lu'an City,341500,12000,安徽,六安
Fujian ,2028,Longyan City,350800,12570,福建,龙岩
Gansu ,2028,Lanzhou City,620100,5000,甘肃,兰州
Guangdong ,2028,Foshan City,440600,3000,广东,佛山
Guangxi ,2028,Qinzhou City,450700,10000,广西,钦州
Henan ,2028,Xinxiang City,410700,100000,河南,新乡
Hubei ,2028,Xiangyang City,420600,10000,湖北,襄阳
Hunan ,2028,Zhuzhou City,430200,6000,湖南,株洲
Hunan ,2028,Changsha City,430100,10000,湖南,长沙
Hunan ,2028,Hengyang City,430400,17000,湖南,衡阳
Hunan ,2028,Changde City,430700,100000,湖南,常德
Hunan ,2028,Changsha City,430100,100000,湖南,长沙
Jilin ,2028,Yanbian Korean Autonomous Prefecture,222400,60000,吉林,延边
Jiangxi ,2028,Ganzhou City,360700,25000,江西,赣州
Jiangxi ,2028,Yichun City (Jiangxi),360900,40000,江西,宜春
Jiangxi ,2028,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,5000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,30000,江西,赣州
Jiangxi ,2028,Ganzhou City,360700,6000,江西,赣州
Jiangxi ,2028,Yichun City (Jiangxi),360900,10000,江西,宜春
Jiangxi ,2028,Shangrao City,361100,30000,江西,上饶
Shanghai,2028,Shanghai City,310000,10000,上海,上海
Yunnan ,2028,Qujing City,530300,10000,云南,曲靖
Guangdong ,2028,Foshan City,440600,120000,广东,佛山
Anhui ,2029,Chizhou City,341700,10000,安徽,池州
Guangdong ,2029,Shaoguan City,440200,10000,广东,韶关
Hubei ,2029,Xiangyang City,420600,15000,湖北,襄阳
Fujian ,2029,Fuzhou City (Fujian),350100,50000,福建,福州
Henan ,2029,Zhengzhou City,410100,50000,河南,郑州
Anhui ,2029,Fuyang City,341200,7200,安徽,阜阳
Anhui ,2029,Fuyang City,341200,6800,安徽,阜阳
