province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Henan ,2023,Zhengzhou City,410100,8000,河南,郑州
Gansu ,2023,Lanzhou City,620100,500,甘肃,兰州
Ningxia,2023,Yinchuan City,640100,100000,宁夏,银川
Sichuan ,2023,Suining City,510900,100000,四川,遂宁
Gansu ,2023,Jinchang City,620300,50000,甘肃,金昌
Gansu ,2023,Baiyin City,620400,800,甘肃,白银
Hubei ,2023,Jingmen City,420800,45000,湖北,荆门
Hunan ,2023,Changsha City,430100,120000,湖南,长沙
Anhui ,2023,Wuhu City,340200,500,安徽,芜湖
Anhui ,2023,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2023,Fuyang City,341200,11250,安徽,阜阳
Anhui ,2023,Lu'an City,341500,12000,安徽,六安
Anhui ,2023,Lu'an City,341500,12000,安徽,六安
Fujian ,2023,Longyan City,350800,12570,福建,龙岩
Gansu ,2023,Lanzhou City,620100,5000,甘肃,兰州
Guangdong ,2023,Foshan City,440600,3000,广东,佛山
Guangxi ,2023,Qinzhou City,450700,10000,广西,钦州
Henan ,2023,Xinxiang City,410700,100000,河南,新乡
Hubei ,2023,Xiangyang City,420600,10000,湖北,襄阳
Hunan ,2023,Zhuzhou City,430200,6000,湖南,株洲
Hunan ,2023,Changsha City,430100,10000,湖南,长沙
Hunan ,2023,Hengyang City,430400,17000,湖南,衡阳
Hunan ,2023,Changde City,430700,100000,湖南,常德
Hunan ,2023,Changsha City,430100,100000,湖南,长沙
Jilin ,2023,Yanbian Korean Autonomous Prefecture,222400,60000,吉林,延边
Jiangxi ,2023,Ganzhou City,360700,25000,江西,赣州
Jiangxi ,2023,Yichun City (Jiangxi),360900,40000,江西,宜春
Jiangxi ,2023,Ganzhou City,360700,13000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,5000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,30000,江西,赣州
Jiangxi ,2023,Ganzhou City,360700,6000,江西,赣州
Jiangxi ,2023,Yichun City (Jiangxi),360900,10000,江西,宜春
Jiangxi ,2023,Shangrao City,361100,30000,江西,上饶
Shanghai,2023,Shanghai City,310000,10000,上海,上海
Yunnan ,2023,Qujing City,530300,10000,云南,曲靖
Guangdong ,2023,Foshan City,440600,120000,广东,佛山
Henan ,2024,Sanmenxia City,411200,30000,河南,三门峡
Hunan ,2024,Changsha City,430100,100000,湖南,长沙
