year,province,capacity_tons,served_tons,inbound_ton_km,outbound_ton_km,avg_haul_km,utilization,scenario
2022,guangdong,46000.0,36049.52776116915,4179956.676775711,4179956.676775711,115.95038649239015,0.7836853861123728,baseline_inprov
2022,guangxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,guizhou,34000.0,1939.0709988653,346328.10782689136,346328.10782689136,178.60517125445878,0.05703149996662647,baseline_inprov
2022,hainan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,hebei,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,heilongjiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,henan,10000.0,9777.242705136001,850101.1959192279,850101.1959192279,86.9469257905062,0.9777242705136001,baseline_inprov
2022,hubei,110000.0,8090.8287570281,1309830.0034680706,1309830.0034680706,161.8907089499684,0.07355298870025545,baseline_inprov
2022,hunan,108208.0,7247.881690580501,556753.7991087945,556753.7991087945,76.81607162991685,0.06698101517984345,baseline_inprov
2022,inner mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,jiangsu,16000.0,9694.4609987335,1842684.260240968,1842684.260240968,190.0759888024408,0.6059038124208438,baseline_inprov
2022,jiangxi,189000.0,3678.5918976030002,395666.0469793554,395666.0469793554,107.55910358992922,0.019463449193666667,baseline_inprov
2022,jilin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,liaoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,ningxia,100000.0,500.027491375,20826.17115854901,20826.17115854901,41.65005228268587,0.00500027491375,baseline_inprov
2022,qinghai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,shaanxi,15000.0,6323.9209470927,3530154.7123741494,3530154.7123741494,558.2224607024965,0.42159472980618,baseline_inprov
2022,shandong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,shanghai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,shanxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sichuan,100000.0,8196.929170690451,1580230.0493727352,1580230.0493727352,192.78317726876585,0.08196929170690452,baseline_inprov
2022,tianjin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,tibet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,xinjiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,yunnan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,zhejiang,200000.0,10970.0815308455,729753.2624009908,729753.2624009908,66.5221366267044,0.0548504076542275,baseline_inprov
2023,anhui,78000.0,8724.214251304002,871688.9367465319,871688.9367465319,99.91603961540045,0.11184890065774361,baseline_inprov
2023,beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,chongqing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,fujian,24570.0,8554.1322472275,1377709.2207957425,1377709.2207957425,161.05774156604545,0.3481535306156899,baseline_inprov
2023,gansu,56300.0,2049.2395595389503,272825.130798781,272825.130798781,133.1348155606379,0.036398571217388105,baseline_inprov
2023,guangdong,169000.0,46911.336585798905,4024581.108827075,4024581.108827075,85.79122663593867,0.2775818732887509,baseline_inprov
2023,guangxi,10000.0,4598.438843855551,1219805.2460722043,1219805.2460722043,265.2650796263415,0.45984388438555507,baseline_inprov
2023,guizhou,34000.0,2658.9087144245004,483269.41504192445,483269.41504192445,181.7547975303561,0.07820319748307354,baseline_inprov
2023,hainan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,hebei,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,heilongjiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,henan,110000.0,13401.582417308502,1108919.6746224114,1108919.6746224114,82.74542812125021,0.1218325674300773,baseline_inprov
2023,hubei,165000.0,9828.38440543,1653991.9352469326,1653991.9352469326,168.28726543633485,0.05956596609351516,baseline_inprov
2023,hunan,461208.0,9582.4547808925,552888.7328030413,552888.7328030413,57.698026804729245,0.02077686159149993,baseline_inprov
2023,inner mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,jiangsu,16000.0,13763.149782364002,2445574.786236,2445574.786236,177.69005096273392,0.8601968613977501,baseline_inprov
2023,jiangxi,358000.0,5012.646671696,556932.6137475208,556932.6137475208,111.10549979360222,0.014001806345519554,baseline_inprov
2023,jilin,60000.0,2052.651453172,783096.2036976439,783096.2036976439,381.5047130809817,0.034210857552866666,baseline_inprov
2023,liaoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,ningxia,100000.0,577.18104720135,26786.168033438335,26786.168033438335,46.40860638671311,0.0057718104720135,baseline_inprov
2023,qinghai,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,shaanxi,15000.0,8042.068240021,4477474.484247065,4477474.484247065,556.75658930188,0.5361378826680666,baseline_inprov
2023,shandong,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,shanghai,10000.0,10000.0,100000.0,100000.0,10.0,1.0,baseline_inprov
2023,shanxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,sichuan,100000.0,11478.395661489501,2214374.9469831022,2214374.9469831022,192.91676400495786,0.11478395661489502,baseline_inprov
2023,tianjin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,tibet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,xinjiang,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,yunnan,10000.0,3283.13332828815,717289.4325090103,717289.4325090103,218.47709513613032,0.32831333282881503,baseline_inprov
2023,zhejiang,200000.0,16356.993121665502,1129872.4367875701,1129872.4367875701,69.07580313713088,0.08178496560832751,baseline_inprov
2024,anhui,158000.0,12315.162067464002,1134017.5318185324,1134017.5318185324,92.08303760894434,0.0779440637181266,baseline_inprov
2024,beijing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,chongqing,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,fujian,77140.0,12923.2891310355,2051218.2565276423,2051218.2565276423,158.72261587041385,0.1675303231920599,baseline_inprov
2024,gansu,56300.0,2664.8062107972,367817.74879469763,367817.74879469763,138.02795389187483,0.047332259516824154,baseline_inprov
