year,province,capacity_tons,inbound_ton_km,outbound_ton_km,generated_tons,formal_served_tons,informal_total_tons,informal_micro_tons,informal_medium_tons,formal_share,informal_share,unrecycled_share,scenario
2020,anhui,0.0,0.0,0.0,3541.96400493,1176.2776366825,2365.6863682475,2365.6863682475,0.0,0.33209756932742934,0.6679024306725706,0.0,citycluster
2020,beijing,0.0,0.0,0.0,6203.252719,0.0,6203.252719,6203.252719,0.0,0.0,1.0,0.0,citycluster
2020,chongqing,0.0,0.0,0.0,1207.28591,0.0,1207.28591,0.0,1207.28591,0.0,1.0,0.0,citycluster
2020,fujian,0.0,0.0,0.0,2804.67637699,1262.1043696455,1542.5720073445,1028.3813382296667,514.1906691148333,0.45,0.55,0.0,citycluster
2020,gansu,0.0,0.0,0.0,1000.39418954,0.0,1000.39418954,1000.39418954,0.0,0.0,1.0,0.0,citycluster
2020,guangdong,10000.0,1625253.271763019,1133045.5988909353,21265.66906783,9241.9409794455,12023.728088384498,10609.171842692203,1414.556245692294,0.43459441365173895,0.565405586348261,0.0,citycluster
2020,guangxi,0.0,0.0,0.0,1465.15454671,470.23068753,994.92385918,497.46192959,497.46192959,0.3209427214254644,0.6790572785745357,0.0,citycluster
2020,guizhou,0.0,0.0,0.0,1018.35338665,0.0,1018.35338665,509.176693325,509.176693325,0.0,1.0,0.0,citycluster
2020,hainan,0.0,0.0,0.0,969.14247012,368.50606578000003,600.63640434,600.63640434,0.0,0.3802393117024077,0.6197606882975923,0.0,citycluster
2020,hebei,0.0,0.0,0.0,2774.99661491,511.51597338999994,2263.48064152,1915.2528505169232,348.22779100307696,0.18433030535663902,0.8156696946433609,0.0,citycluster
2020,heilongjiang,0.0,0.0,0.0,1653.76999551,0.0,1653.76999551,826.884997755,826.884997755,0.0,1.0,0.0,citycluster
2020,henan,2000.0,415599.6251182909,324343.6409431705,5341.7223828999995,1744.242013305,3597.480369595,1798.7401847975,1798.7401847975,0.3265317604090945,0.6734682395909056,0.0,citycluster
2020,hubei,4000.0,1541572.2660957426,663665.9234494161,5334.95824309,2373.1494571935,2961.8087858965,2303.6290556972776,658.1797301992221,0.4448299966109904,0.5551700033890096,0.0,citycluster
2020,hunan,0.0,0.0,0.0,4042.12640644,1818.9568828980002,2223.1695235419998,1438.5214564095293,784.6480671324706,0.45,0.5499999999999999,0.0,citycluster
2020,inner mongolia,0.0,0.0,0.0,1132.47548485,0.0,1132.47548485,1132.47548485,0.0,0.0,1.0,0.0,citycluster
2020,jiangsu,0.0,0.0,0.0,5270.9837417,2285.892786555,2985.090955145,1413.9904524371052,1571.1005027078945,0.43367479365773054,0.5663252063422695,0.0,citycluster
2020,jiangxi,50000.0,1269451.1340283903,291063.27129677805,2016.4659278,1064.498270472,951.967657328,740.4192890328889,211.5483682951111,0.5279029294749287,0.4720970705250713,0.0,citycluster
2020,jilin,0.0,0.0,0.0,772.0573568899999,0.0,772.0573568899999,772.0573568899999,0.0,0.0,1.0,0.0,citycluster
2020,liaoning,0.0,0.0,0.0,1478.77768848,0.0,1478.77768848,985.85179232,492.92589616,0.0,1.0,0.0,citycluster
2020,ningxia,0.0,0.0,0.0,353.72525915,0.0,353.72525915,0.0,353.72525915,0.0,1.0,0.0,citycluster
2020,qinghai,0.0,0.0,0.0,170.983615017,0.0,170.983615017,34.1967230034,136.7868920136,0.0,1.0,0.0,citycluster
2020,shaanxi,0.0,0.0,0.0,3724.00497001,0.0,3724.00497001,2068.8916500055557,1655.1133200044442,0.0,1.0,0.0,citycluster
2020,shandong,0.0,0.0,0.0,6234.56945676,294.05806240500004,5940.511394355,3198.7369046526924,2741.774489702308,0.047165736855519294,0.9528342631444807,0.0,citycluster
2020,shanghai,0.0,0.0,0.0,4496.159132,2023.2716094,2472.8875226,0.0,2472.8875226,0.45,0.55,0.0,citycluster
2020,shanxi,0.0,0.0,0.0,2027.00306542,0.0,2027.00306542,2027.00306542,0.0,0.0,1.0,0.0,citycluster
2020,sichuan,0.0,0.0,0.0,4211.44091638,0.0,4211.44091638,2526.864549828,1684.576366552,0.0,1.0,0.0,citycluster
2020,tianjin,0.0,0.0,0.0,3109.796777,0.0,3109.796777,1554.8983885,1554.8983885,0.0,1.0,0.0,citycluster
2020,tibet,0.0,0.0,0.0,54.75853884,0.0,54.75853884,27.37926942,27.37926942,0.0,1.0,0.0,citycluster
2020,xinjiang,0.0,0.0,0.0,255.42460353,0.0,255.42460353,198.66358052333334,56.76102300666667,0.0,1.0,0.0,citycluster
2020,yunnan,0.0,0.0,0.0,1069.6200047,0.0,1069.6200047,291.7145467363636,777.9054579636364,0.0,1.0,0.0,citycluster
2020,zhejiang,64680.0,2860818.1610468393,602936.1316365966,5375.69015324,2662.546810428,2713.143342812,2713.143342812,0.0,0.4952939500843901,0.5047060499156099,0.0,citycluster
2021,anhui,0.0,0.0,0.0,7721.7898626,3038.8739063499993,4682.91595625,3007.7265084857727,1675.1894477642277,0.3935452738837912,0.6064547261162088,0.0,citycluster
2021,beijing,0.0,0.0,0.0,12728.04205,0.0,12728.04205,6364.021025,6364.021025,0.0,1.0,0.0,citycluster
2021,chongqing,0.0,0.0,0.0,2787.944689,0.0,2787.944689,1742.465430625,1045.479258375,0.0,1.0,0.0,citycluster
2021,fujian,0.0,0.0,0.0,6569.9917191,3284.9958595499993,3284.9958595500007,2058.5974053180007,1226.3984542320004,0.4999999999999999,0.5000000000000001,0.0,citycluster
