year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2020,anhui,3541.96400493,1593.8838022185,1948.0802027114999,19480.802027114998,3541.9640049299996,0.0,neighbor_prov
2020,beijing,6203.252719,0.0,6203.252719,62032.52719,6203.252719,0.0,neighbor_prov
2020,chongqing,1207.28591,543.2786595,664.0072505,6640.072505,1207.28591,0.0,neighbor_prov
2020,fujian,2804.67637699,1262.1043696455,1542.5720073445,15425.720073445,2804.67637699,0.0,neighbor_prov
2020,gansu,1000.39418954,0.0,1000.39418954,10003.9418954,1000.39418954,0.0,neighbor_prov
2020,guangdong,21265.66906783,9569.5510805235,11696.1179873065,116961.17987306499,21265.66906783,0.0,neighbor_prov
2020,guangxi,1465.15454671,470.23068753,994.92385918,9949.2385918,1465.15454671,0.0,neighbor_prov
2020,guizhou,1018.35338665,0.0,1018.35338665,10183.5338665,1018.35338665,0.0,neighbor_prov
2020,hainan,969.14247012,368.50606578000003,600.63640434,6006.3640434,969.1424701200001,0.0,neighbor_prov
2020,hebei,2774.99661491,0.0,2774.99661491,27749.9661491,2774.99661491,0.0,neighbor_prov
2020,heilongjiang,1653.76999551,0.0,1653.76999551,16537.6999551,1653.76999551,0.0,neighbor_prov
2020,henan,5341.7223828999995,1256.9154702000003,4084.8069126999994,40848.069126999995,5341.7223828999995,0.0,neighbor_prov
2020,hubei,5334.95824309,2400.7312093905,2934.2270336995,29342.270336995,5334.958243090001,0.0,neighbor_prov
2020,hunan,4042.12640644,1818.9568828980002,2223.1695235419998,22231.69523542,4042.12640644,0.0,neighbor_prov
2020,inner mongolia,1132.47548485,0.0,1132.47548485,11324.754848499999,1132.47548485,0.0,neighbor_prov
2020,jiangsu,5270.9837417,2371.9426837650003,2899.041057935,28990.41057935,5270.9837417,0.0,neighbor_prov
2020,jiangxi,2016.4659278,1064.498270472,951.967657328,9519.67657328,2016.4659278,0.0,neighbor_prov
2020,jilin,772.0573568899999,0.0,772.0573568899999,7720.573568899999,772.0573568899999,0.0,neighbor_prov
2020,liaoning,1478.77768848,0.0,1478.77768848,14787.776884800001,1478.77768848,0.0,neighbor_prov
2020,ningxia,353.72525915,0.0,353.72525915,3537.2525915,353.72525915,0.0,neighbor_prov
2020,qinghai,170.983615017,0.0,170.983615017,1709.8361501699999,170.983615017,0.0,neighbor_prov
2020,shaanxi,3724.00497001,1330.5048273,2393.5001427099996,23935.0014271,3724.00497001,0.0,neighbor_prov
2020,shandong,6234.56945676,0.0,6234.56945676,62345.6945676,6234.56945676,0.0,neighbor_prov
2020,shanghai,4496.159132,2023.2716094,2472.8875226,24728.875226,4496.159132,0.0,neighbor_prov
2020,shanxi,2027.00306542,0.0,2027.00306542,20270.0306542,2027.00306542,0.0,neighbor_prov
2020,sichuan,4211.44091638,0.0,4211.44091638,42114.4091638,4211.44091638,0.0,neighbor_prov
2020,tianjin,3109.796777,0.0,3109.796777,31097.96777,3109.796777,0.0,neighbor_prov
2020,tibet,54.75853884,0.0,54.75853884,547.5853883999999,54.75853884,0.0,neighbor_prov
2020,xinjiang,255.42460353,0.0,255.42460353,2554.2460353,255.42460353,0.0,neighbor_prov
2020,yunnan,1069.6200047,0.0,1069.6200047,10696.200047,1069.6200047,0.0,neighbor_prov
2020,zhejiang,5375.69015324,2662.546810428,2713.143342812,27131.433428120003,5375.69015324,0.0,neighbor_prov
2021,anhui,7721.7898626,3860.8949312999994,3860.8949313000003,38608.949313000005,7721.7898626,0.0,neighbor_prov
2021,beijing,12728.04205,0.0,12728.04205,127280.42050000001,12728.04205,0.0,neighbor_prov
2021,chongqing,2787.944689,1393.9723444999997,1393.9723445000002,13939.723445000001,2787.944689,0.0,neighbor_prov
2021,fujian,6569.9917191,3284.9958595499993,3284.9958595500007,32849.95859550001,6569.9917191,0.0,neighbor_prov
2021,gansu,2072.98567505,0.0,2072.98567505,20729.8567505,2072.98567505,0.0,neighbor_prov
2021,guangdong,44217.79550386,22108.897751929995,22108.897751930006,221088.97751930004,44217.795503860005,0.0,neighbor_prov
2021,guangxi,3388.98487406,1694.4924370299998,1694.4924370300002,16944.924370300003,3388.98487406,0.0,neighbor_prov
2021,guizhou,2250.49633108,1125.2481655399997,1125.2481655400002,11252.481655400003,2250.49633108,0.0,neighbor_prov
