year,province,capacity_tons,inbound_ton_km,outbound_ton_km,generated_tons,formal_served_tons,informal_total_tons,informal_micro_tons,informal_medium_tons,formal_share,informal_share,unrecycled_share,scenario
2021,guangdong,40000.0,2750352.081907208,2750352.081907208,44217.79550386,22108.897751929995,22108.897751930006,18297.018829183453,3811.878922746553,0.49999999999999994,0.5000000000000001,0.0,baseline_inprov
2021,guangxi,0.0,0.0,0.0,3388.98487406,0.0,3388.98487406,1863.941680733,1525.0431933270002,0.0,1.0,0.0,baseline_inprov
2021,guizhou,0.0,0.0,0.0,2250.49633108,0.0,2250.49633108,1731.1510239076922,519.3453071723077,0.0,1.0,0.0,baseline_inprov
2021,hainan,0.0,0.0,0.0,1939.77837608,0.0,1939.77837608,1620.2854670785882,319.49290900141176,0.0,1.0,0.0,baseline_inprov
2021,hebei,0.0,0.0,0.0,6101.7239358,0.0,6101.7239358,3050.8619679,3050.8619679,0.0,1.0,0.0,baseline_inprov
2021,heilongjiang,0.0,0.0,0.0,3515.19326411,0.0,3515.19326411,3515.19326411,0.0,0.0,1.0,0.0,baseline_inprov
2021,henan,2000.0,275488.0,275488.0,11504.11969685,2000.0,9504.11969685,6766.9332241572,2737.1864726928,0.17385076413518452,0.8261492358648155,0.0,baseline_inprov
2021,hubei,100000.0,1132066.8705872141,1132066.8705872141,10575.48923886,5287.744619429999,5287.744619430001,4326.336506806365,961.4081126236366,0.4999999999999999,0.5000000000000001,0.0,baseline_inprov
2021,hunan,103792.0,445104.1628888868,445104.1628888868,8655.12044965,4327.560224825,4327.560224825001,2373.1781878072584,1954.3820370177423,0.5,0.5000000000000001,0.0,baseline_inprov
2021,inner mongolia,0.0,0.0,0.0,2207.4159044000003,0.0,2207.4159044000003,1188.6085639076923,1018.8073404923078,0.0,1.0,0.0,baseline_inprov
2021,jiangsu,0.0,0.0,0.0,11263.9102387,0.0,11263.9102387,5746.892978928572,5517.017259771428,0.0,1.0,0.0,baseline_inprov
2021,jiangxi,83000.0,698030.7080422217,698030.7080422217,4309.18090122,2536.09654247,1773.0843587500005,1235.7860682196974,537.2982905303032,0.5885333200451133,0.41146667995488684,0.0,baseline_inprov
2021,jilin,0.0,0.0,0.0,1734.70557541,0.0,1734.70557541,1734.70557541,0.0,0.0,1.0,0.0,baseline_inprov
2021,liaoning,0.0,0.0,0.0,2987.95711247,0.0,2987.95711247,1244.9821301958334,1742.974982274167,0.0,1.0,0.0,baseline_inprov
2021,ningxia,0.0,0.0,0.0,681.0888463399999,0.0,681.0888463399999,340.54442316999996,340.54442316999996,0.0,1.0,0.0,baseline_inprov
2021,qinghai,0.0,0.0,0.0,395.47099163,0.0,395.47099163,282.47927973571433,112.99171189428571,0.0,1.0,0.0,baseline_inprov
2021,shaanxi,0.0,0.0,0.0,7796.327468619999,0.0,7796.327468619999,4556.295273868831,3240.032194751169,0.0,1.0,0.0,baseline_inprov
2021,shandong,0.0,0.0,0.0,13008.2852502,0.0,13008.2852502,8443.974636094737,4564.310614105263,0.0,1.0,0.0,baseline_inprov
2021,shanghai,0.0,0.0,0.0,9275.215279,0.0,9275.215279,4637.6076395,4637.6076395,0.0,1.0,0.0,baseline_inprov
2021,shanxi,0.0,0.0,0.0,4165.9873149000005,0.0,4165.9873149000005,3240.212356033334,925.7749588666667,0.0,1.0,0.0,baseline_inprov
2021,sichuan,0.0,0.0,0.0,9385.93801241,0.0,9385.93801241,8045.089724922857,1340.848287487143,0.0,1.0,0.0,baseline_inprov
2021,tianjin,0.0,0.0,0.0,6304.751902,0.0,6304.751902,6304.751902,0.0,0.0,1.0,0.0,baseline_inprov
2021,tibet,0.0,0.0,0.0,119.26214266999999,0.0,119.26214266999999,71.557285602,47.704857067999995,0.0,1.0,0.0,baseline_inprov
2021,xinjiang,0.0,0.0,0.0,654.57860168,0.0,654.57860168,436.3857344533333,218.19286722666666,0.0,1.0,0.0,baseline_inprov
2021,yunnan,0.0,0.0,0.0,2480.86047173,0.0,2480.86047173,1514.2914567702596,966.5690149597403,0.0,1.0,0.0,baseline_inprov
2021,zhejiang,64680.0,1507789.2665775488,1507789.2665775488,12039.78020556,6765.91171798,5273.868487580001,3711.240787556297,1562.627700023704,0.5619630593302264,0.4380369406697736,0.0,baseline_inprov
2022,anhui,31000.0,1116006.0843510288,1116006.0843510288,12298.5903154,6579.745818739,5718.8444966609995,1906.2814988869998,3812.5629977739995,0.535,0.4649999999999999,0.0,baseline_inprov
2022,beijing,0.0,0.0,0.0,20226.57918,0.0,20226.57918,6742.19306,13484.38612,0.0,1.0,0.0,baseline_inprov
2022,chongqing,0.0,0.0,0.0,4897.442553,0.0,4897.442553,1632.4808509999998,3264.9617019999996,0.0,1.0,0.0,baseline_inprov
2022,fujian,12000.0,1461959.265668341,1461959.265668341,11217.0809559,6001.1383114065,5215.9426444935,1738.6475481644998,3477.2950963289995,0.535,0.46499999999999997,0.0,baseline_inprov
2022,gansu,500.0,5000.0,5000.0,3099.3303873199998,500.0,2599.3303873199998,866.4434624399998,1732.8869248799997,0.16132516947712422,0.8386748305228758,0.0,baseline_inprov
