year,province,capacity_tons,inbound_ton_km,outbound_ton_km,generated_tons,formal_served_tons,informal_total_tons,informal_micro_tons,informal_medium_tons,formal_share,informal_share,unrecycled_share,scenario
2020,tianjin,0.0,0.0,0.0,3109.796777,0.0,3109.796777,1554.8983885,1554.8983885,0.0,1.0,0.0,radius300
2020,tibet,0.0,0.0,0.0,54.75853884,0.0,54.75853884,27.37926942,27.37926942,0.0,1.0,0.0,radius300
2020,xinjiang,0.0,0.0,0.0,255.42460353,0.0,255.42460353,198.66358052333334,56.76102300666667,0.0,1.0,0.0,radius300
2020,yunnan,0.0,0.0,0.0,1069.6200047,0.0,1069.6200047,291.7145467363636,777.9054579636364,0.0,1.0,0.0,radius300
2020,zhejiang,64680.0,2312395.732759841,602936.1316365966,5375.69015324,2662.546810428,2713.143342812,2713.143342812,0.0,0.4952939500843901,0.5047060499156099,0.0,radius300
2021,anhui,0.0,0.0,0.0,7721.7898626,1091.2600040449997,6630.529858555,4258.632998584106,2371.896859970894,0.141322157616649,0.858677842383351,0.0,radius300
2021,beijing,0.0,0.0,0.0,12728.04205,0.0,12728.04205,6364.021025,6364.021025,0.0,1.0,0.0,radius300
2021,chongqing,0.0,0.0,0.0,2787.944689,0.0,2787.944689,1742.465430625,1045.479258375,0.0,1.0,0.0,radius300
2021,fujian,0.0,0.0,0.0,6569.9917191,2322.37978855,4247.611930550001,2661.8368098113338,1585.775120738667,0.35348290954438744,0.6465170904556126,0.0,radius300
2021,gansu,0.0,0.0,0.0,2072.98567505,0.0,2072.98567505,1243.7914050299999,829.19427002,0.0,1.0,0.0,radius300
2021,guangdong,40000.0,4423900.634757434,2750352.081907208,44217.79550386,22108.897751929995,22108.897751930006,18297.018829183453,3811.878922746553,0.49999999999999994,0.5000000000000001,0.0,radius300
2021,guangxi,0.0,0.0,0.0,3388.98487406,633.9511415,2755.0337325600003,1515.2685529080004,1239.7651796520001,0.18706225169442176,0.8129377483055783,0.0,radius300
2021,guizhou,0.0,0.0,0.0,2250.49633108,104.30284472999998,2146.19348635,1650.918066423077,495.2754199269231,0.04634659621059931,0.9536534037894008,0.0,radius300
2021,hainan,0.0,0.0,0.0,1939.77837608,645.4551158449999,1294.3232602350001,1081.1406056080589,213.1826546269412,0.33274683531082944,0.6672531646891706,0.0,radius300
2021,hebei,0.0,0.0,0.0,6101.7239358,0.0,6101.7239358,3050.8619679,3050.8619679,0.0,1.0,0.0,radius300
2021,heilongjiang,0.0,0.0,0.0,3515.19326411,0.0,3515.19326411,3515.19326411,0.0,0.0,1.0,0.0,radius300
2021,henan,2000.0,747260.0,213913.35800331616,11504.11969685,643.9338226599999,10860.18587419,7732.452342423279,3127.73353176672,0.055974193560965696,0.9440258064390342,0.0,radius300
