year,city_code,province,eol_tons,formal_tons_served,informal_tons_served,unrecycled,informal_tkm,scenario
2020,445200,guangdong,2.24682648,1.011071916,1.235754564,0.0,12.35754564,baseline_inprov
2020,445300,guangdong,15.14000953,6.8130042885,8.3270052415,0.0,83.27005241500001,baseline_inprov
2020,450100,guangxi,472.1733577,0.0,472.1733577,0.0,4721.733577,baseline_inprov
2020,450200,guangxi,299.4655643,0.0,299.4655643,0.0,2994.655643,baseline_inprov
2020,450300,guangxi,273.3181614,0.0,273.3181614,0.0,2733.181614,baseline_inprov
2020,450400,guangxi,76.33866,0.0,76.33866,0.0,763.3866,baseline_inprov
2020,450500,guangxi,44.83496797,0.0,44.83496797,0.0,448.3496797,baseline_inprov
2020,450600,guangxi,5.97151142,0.0,5.97151142,0.0,59.7151142,baseline_inprov
2020,450700,guangxi,30.02682615,0.0,30.02682615,0.0,300.2682615,baseline_inprov
2020,450800,guangxi,70.63533393,0.0,70.63533393,0.0,706.3533393,baseline_inprov
2020,450900,guangxi,54.27011619,0.0,54.27011619,0.0,542.7011619,baseline_inprov
2020,451000,guangxi,26.96878022,0.0,26.96878022,0.0,269.6878022,baseline_inprov
2020,451100,guangxi,3.6971229,0.0,3.6971229,0.0,36.971229,baseline_inprov
2020,451200,guangxi,47.95325386,0.0,47.95325386,0.0,479.5325386,baseline_inprov
2020,451300,guangxi,55.86139149,0.0,55.86139149,0.0,558.6139149,baseline_inprov
2020,451400,guangxi,3.63949918,0.0,3.63949918,0.0,36.3949918,baseline_inprov
2020,520100,guizhou,509.8496418,0.0,509.8496418,0.0,5098.496418,baseline_inprov
2020,520200,guizhou,64.94144284,0.0,64.94144284,0.0,649.4144283999999,baseline_inprov
2020,520300,guizhou,124.5213639,0.0,124.5213639,0.0,1245.213639,baseline_inprov
2020,520400,guizhou,22.18800125,0.0,22.18800125,0.0,221.8800125,baseline_inprov
2020,520500,guizhou,46.07744975,0.0,46.07744975,0.0,460.7744975,baseline_inprov
2020,520600,guizhou,43.2084899,0.0,43.2084899,0.0,432.084899,baseline_inprov
2020,522300,guizhou,57.45515604,0.0,57.45515604,0.0,574.5515604,baseline_inprov
2020,522600,guizhou,48.72666637,0.0,48.72666637,0.0,487.2666637,baseline_inprov
2020,522700,guizhou,101.3851748,0.0,101.3851748,0.0,1013.851748,baseline_inprov
2020,460100,hainan,573.9275052,0.0,573.9275052,0.0,5739.275052000001,baseline_inprov
2020,460200,hainan,244.9748632,0.0,244.9748632,0.0,2449.748632,baseline_inprov
2020,460400,hainan,0.02184015,0.0,0.02184015,0.0,0.2184015,baseline_inprov
2020,469001,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469002,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469005,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469006,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469007,hainan,11.25790115,0.0,11.25790115,0.0,112.5790115,baseline_inprov
2020,469021,hainan,11.04987049,0.0,11.04987049,0.0,110.4987049,baseline_inprov
2020,469022,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469023,hainan,11.04987049,0.0,11.04987049,0.0,110.4987049,baseline_inprov
2020,469024,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469025,hainan,10.3933179,0.0,10.3933179,0.0,103.933179,baseline_inprov
2020,469026,hainan,11.04987049,0.0,11.04987049,0.0,110.4987049,baseline_inprov
2020,469027,hainan,11.04987049,0.0,11.04987049,0.0,110.4987049,baseline_inprov
2020,469028,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,469029,hainan,11.03929608,0.0,11.03929608,0.0,110.3929608,baseline_inprov
2020,469030,hainan,9.16603306,0.0,9.16603306,0.0,91.6603306,baseline_inprov
2020,130100,hebei,271.877932,0.0,271.877932,0.0,2718.77932,baseline_inprov
2020,130200,hebei,134.1749037,0.0,134.1749037,0.0,1341.7490369999998,baseline_inprov
2020,130300,hebei,104.3947297,0.0,104.3947297,0.0,1043.947297,baseline_inprov
2020,130400,hebei,343.130601,0.0,343.130601,0.0,3431.30601,baseline_inprov
2020,130400,hebei,343.130601,0.0,343.130601,0.0,3431.30601,baseline_inprov
2020,130500,hebei,214.6300164,0.0,214.6300164,0.0,2146.300164,baseline_inprov
2020,130500,hebei,214.6300164,0.0,214.6300164,0.0,2146.300164,baseline_inprov
2020,130600,hebei,595.1374642,0.0,595.1374642,0.0,5951.374642,baseline_inprov
2020,130700,hebei,94.19251842,0.0,94.19251842,0.0,941.9251842,baseline_inprov
2020,130800,hebei,39.85256389,0.0,39.85256389,0.0,398.5256389,baseline_inprov
2020,130900,hebei,131.3105709,0.0,131.3105709,0.0,1313.105709,baseline_inprov
2020,131000,hebei,156.3860043,0.0,156.3860043,0.0,1563.860043,baseline_inprov
2020,131100,hebei,132.148693,0.0,132.148693,0.0,1321.48693,baseline_inprov
2020,230100,heilongjiang,709.0956244,0.0,709.0956244,0.0,7090.956244,baseline_inprov
2020,230200,heilongjiang,324.4164558,0.0,324.4164558,0.0,3244.164558,baseline_inprov
2020,230300,heilongjiang,104.3424252,0.0,104.3424252,0.0,1043.424252,baseline_inprov
2020,230400,heilongjiang,38.60790984,0.0,38.60790984,0.0,386.0790984,baseline_inprov
2020,230500,heilongjiang,41.41356559,0.0,41.41356559,0.0,414.1356559,baseline_inprov
2020,230600,heilongjiang,43.92222848,0.0,43.92222848,0.0,439.2222848,baseline_inprov
2020,230700,heilongjiang,37.77036013,0.0,37.77036013,0.0,377.7036013,baseline_inprov
2020,230800,heilongjiang,76.24164747,0.0,76.24164747,0.0,762.4164747,baseline_inprov
2020,230900,heilongjiang,27.33530559,0.0,27.33530559,0.0,273.3530559,baseline_inprov
2020,231000,heilongjiang,106.4185929,0.0,106.4185929,0.0,1064.185929,baseline_inprov
2020,231100,heilongjiang,21.96220345,0.0,21.96220345,0.0,219.6220345,baseline_inprov
2020,231200,heilongjiang,103.9722343,0.0,103.9722343,0.0,1039.722343,baseline_inprov
2020,232700,heilongjiang,18.27144236,0.0,18.27144236,0.0,182.71442360000003,baseline_inprov
2020,410100,henan,2391.230686,1076.0538087,1315.1768773,0.0,13151.768773,baseline_inprov
2020,410200,henan,642.3142271,289.04140219500005,353.272824905,0.0,3532.72824905,baseline_inprov
2020,410300,henan,167.3120754,75.29043393,92.02164147,0.0,920.2164147,baseline_inprov
2020,410400,henan,173.8075945,78.213417525,95.594176975,0.0,955.94176975,baseline_inprov
2020,410500,henan,408.6190137,183.878556165,224.740457535,0.0,2247.40457535,baseline_inprov
