year,province,capacity_tons,inbound_ton_km,outbound_ton_km,generated_tons,formal_served_tons,informal_total_tons,informal_micro_tons,informal_medium_tons,formal_share,informal_share,unrecycled_share,scenario
2024,hunan,565208.0,742699.8644449438,742699.8644449438,21526.2348623,13884.4214861835,7641.813376116499,5206.510212299153,2435.3031638173456,0.6449999999999999,0.355,0.0,neighbor_prov
2024,inner mongolia,0.0,0.0,0.0,4470.53296118,2883.4937599611,1587.0392012189,996.5129868118674,590.5262144070325,0.645,0.355,0.0,neighbor_prov
2024,jiangsu,16000.0,2455980.14579901,3804048.830926093,34402.6656025,22189.719313612502,12212.9462888875,7526.059152192666,4686.887136694834,0.6450000000000001,0.355,0.0,neighbor_prov
2024,jiangxi,420000.0,626014.1366420027,626014.1366420027,11391.1709679,8613.2509967235,3347.1048696325,2113.9609702942103,1233.1438993382892,0.7561339410140889,0.2938332572713154,0.0,neighbor_prov
2024,jilin,60000.0,7299277.218226331,1160024.855142575,4550.2543212,2934.914037174,1615.3402840259998,1138.6824952970162,476.6577887289836,0.645,0.355,0.0,neighbor_prov
2024,liaoning,0.0,0.0,0.0,6398.3606593,4126.9426252485,2271.4180340515,786.2600887101346,1485.1579453413651,0.645,0.355,0.0,neighbor_prov
2024,ningxia,100000.0,662085.720839898,36740.8882495359,1182.38497715,762.63831026175,419.7466668882501,251.84800013295,167.89866675530004,0.645,0.355,0.0,neighbor_prov
2024,qinghai,0.0,0.0,0.0,1003.23345196,647.0855765142,356.1478754458,246.56391377016925,109.5839616756308,0.645,0.355,0.0,neighbor_prov
2024,shaanxi,15000.0,7386238.263129567,6035012.654436775,17256.2255039,11130.2654500155,6125.960053884501,3981.874035024925,2144.0860188595752,0.6449999999999999,0.355,0.0,neighbor_prov
2024,shandong,0.0,0.0,0.0,35930.9829617,26799.0860647995,10761.1133245065,4160.963818809179,6600.149505697319,0.745848954184346,0.2994939864566778,0.0,neighbor_prov
2024,shanghai,10000.0,100000.0,1465338.6509175685,31292.55591,20183.69856195,11108.857348049998,6458.637993052324,4650.219354997674,0.645,0.3549999999999999,0.0,neighbor_prov
